msg,before,after
b'0\r\n',1582882421.038753,1582882422.0723398
b'1\r\n',1582882422.0723398,1582882423.0566144
b'0\r\n',1582882423.0566144,1582882424.0878747
b'1\r\n',1582882424.0878747,1582882425.0722506
b'0\r\n',1582882425.0722506,1582882426.0878766
b'1\r\n',1582882426.0878766,1582882427.119141
b'0\r\n',1582882427.119141,1582882428.111636
b'1\r\n',1582882428.111636,1582882429.143173
b'0\r\n',1582882429.143173,1582882430.127532
b'1\r\n',1582882430.127532,1582882431.1431696
b'0\r\n',1582882431.1431696,1582882432.1429422
b'1\r\n',1582882432.1429422,1582882433.1587906
b'0\r\n',1582882433.1587906,1582882434.1431632
b'1\r\n',1582882434.1431632,1582882435.1744168
b'0\r\n',1582882435.1744168,1582882436.158785
b'1\r\n',1582882436.158785,1582882437.190036
b'0\r\n',1582882437.190036,1582882438.1658955
b'1\r\n',1582882438.1658955,1582882439.1971548
b'0\r\n',1582882439.1971548,1582882440.181545
b'1\r\n',1582882440.181545,1582882441.2127726
b'0\r\n',1582882441.2127726,1582882442.2068086
b'1\r\n',1582882442.2068086,1582882443.2358475
b'0\r\n',1582882443.2358475,1582882444.2045422
b'1\r\n',1582882444.2045422,1582882445.188948
b'0\r\n',1582882445.188948,1582882446.2201924
b'1\r\n',1582882446.2201924,1582882447.2514446
b'0\r\n',1582882447.2514446,1582882448.2826862
b'1\r\n',1582882448.2826862,1582882449.2670724
b'0\r\n',1582882449.2670724,1582882450.2983146
b'1\r\n',1582882450.2983146,1582882451.2826817
b'0\r\n',1582882451.2826817,1582882452.3138015
b'1\r\n',1582882452.3138015,1582882453.2826862
b'0\r\n',1582882453.2826862,1582882454.3295712
b'1\r\n',1582882454.3295712,1582882455.2983148
b'0\r\n',1582882455.2983148,1582882456.3451996
b'1\r\n',1582882456.3451996,1582882457.3139417
b'0\r\n',1582882457.3139417,1582882458.353423
b'1\r\n',1582882458.353423,1582882459.3378062
b'0\r\n',1582882459.3378062,1582882460.3690224
b'1\r\n',1582882460.3690224,1582882461.384685
b'0\r\n',1582882461.384685,1582882462.3781817
b'1\r\n',1582882462.3781817,1582882463.409686
b'0\r\n',1582882463.409686,1582882464.3782492
b'1\r\n',1582882464.3782492,1582882465.4097211
b'0\r\n',1582882465.4097211,1582882466.4565961
b'1\r\n',1582882466.4565961,1582882467.4409692
b'0\r\n',1582882467.4409692,1582882468.460881
b'1\r\n',1582882468.460881,1582882469.4921324
b'0\r\n',1582882469.4921324,1582882470.4768074
b'1\r\n',1582882470.4768074,1582882471.46111
b'0\r\n',1582882471.46111,1582882472.492357
b'1\r\n',1582882472.492357,1582882473.4741416
