temp,light,count,pycomtime,laptoptime    
2735,208.5,78,84778123,1585147244023978500
2730,208.0,79,85790120,1585147244999978200
2745,208.5,80,86802134,1585147246012979900
2697,209.0,81,87814120,1585147247037979300
2704,209.0,82,88826139,1585147248039980600
2729,209.0,83,89838139,1585147249046976500
2724,209.5,84,90850150,1585147250059984300
2736,209.5,85,91862138,1585147251072979900
2738,209.5,86,92874136,1585147252082979200
2711,209.5,87,93886125,1585147253097979800
2736,209.0,88,94898131,1585147254108977700
2706,209.5,89,95910139,1585147255118980500
2724,209.0,90,96922142,1585147256133977800
2729,209.5,91,97934140,1585147257149978200
2570,209.0,92,98946151,1585147258154978500
2710,209.5,93,99958150,1585147259167978700
2805,209.5,94,100970158,1585147260195980300
2724,210.0,95,101982149,1585147261191988300
2709,210.0,96,102994127,1585147262203047500
2718,210.5,97,104006142,1585147263215978800
2726,210.5,98,105018116,1585147264229977400
2721,210.5,99,106030137,1585147265240978300
2721,211.0,100,107042148,1585147266250977300
2736,210.5,101,108054141,1585147267263977000
2736,211.0,102,109066162,1585147268275978400
2720,210.5,103,110078120,1585147269287978900
2732,211.0,104,111090127,1585147270300979300
2721,211.0,105,112102120,1585147271312040900
2795,211.0,106,113114117,1585147272323977900
2723,211.0,107,114126109,1585147273341976900
2735,211.0,108,115138147,1585147274347976800
2723,211.0,109,116150144,1585147275358975400
2722,210.5,110,117162146,1585147276375928000
2773,211.0,111,118174087,1585147277385066400
2720,210.5,112,119186086,1585147278396064400
2736,210.5,113,120198113,1585147279408065900
2745,210.0,114,121210104,1585147280422066700
2732,210.5,115,122222113,1585147281433064300
2721,210.5,116,123234114,1585147282444761500
2754,210.5,117,124246095,1585147283507821600
2717,210.0,118,125258124,1585147284467565200
2786,210.5,119,126270108,1585147285481155000
2703,210.5,120,127282149,1585147286580165900
2717,211.0,121,128294101,1585147287505033700
2736,211.0,122,129306104,1585147288568909300
2736,211.0,123,130318099,1585147289528098500
2726,211.0,124,131330115,1585147290547300600
2682,211.0,125,132342095,1585147291552903900
2715,211.0,126,133354104,1585147292564223900
2730,211.5,127,134366135,1585147293578066200
2725,211.5,128,135378139,1585147294589082300
2717,211.5,129,136390103,1585147295615537700
2729,212.0,130,137402104,1585147296614054100
2735,211.5,131,138414096,1585147297625514400
2735,211.5,132,139426142,1585147298641309800
2738,211.5,133,140438148,1585147299649658600
2727,210.0,134,141450135,1585147300663210100
2709,210.0,135,142462145,1585147301689812500
2803,211.0,136,143474135,1585147302684062100
2722,210.0,137,144486114,1585147303697056500
2745,211.0,138,145498115,1585147304707993300
2725,210.5,139,146510117,1585147305720524300
2721,210.5,140,147522139,1585147306732032200
2741,209.0,141,148534121,1585147307750358600
2707,210.0,142,149546106,1585147308756058300
2736,210.5,143,150558103,1585147309767316900
2573,209.0,144,151570131,1585147310784215900
2727,210.5,145,152582101,1585147311793927800
2723,210.5,146,153594114,1585147312807532700
2789,210.5,147,154606138,1585147313816902100
2704,210.5,148,155618155,1585147314827978400
2720,210.5,149,156630110,1585147315840929600
2739,210.5,150,157642108,1585147316852605200
2783,210.5,151,158654096,1585147317863752200
2717,209.5,152,159666135,1585147318876829900
2711,210.5,153,160678124,1585147319887806300
