before,msg,after
1582727598.364846,b'1\r\n',1582727599.3492196
1582727599.3492196,b'0\r\n',1582727600.3179677
1582727600.3179677,b'1\r\n',1582727601.2867217
1582727601.2867217,b'0\r\n',1582727602.7708979
1582727602.7708979,b'1\r\n',1582727603.7398326
1582727603.7398326,b'0\r\n',1582727604.7242212
1582727604.7242212,b'1\r\n',1582727605.6929705
1582727605.6929705,b'0\r\n',1582727606.677346
1582727606.677346,b'1\r\n',1582727607.646094
1582727607.646094,b'0\r\n',1582727608.6304665
1582727608.6304665,b'1\r\n',1582727609.6148489
1582727609.6148489,b'0\r\n',1582727610.5835993
1582727610.5835993,b'1\r\n',1582727611.567971
1582727611.567971,b'0\r\n',1582727612.5365076
1582727612.5365076,b'1\r\n',1582727613.5210657
1582727613.5210657,b'0\r\n',1582727614.4898431
1582727614.4898431,b'1\r\n',1582727615.4742239
1582727615.4742239,b'0\r\n',1582727616.444347
1582727616.444347,b'1\r\n',1582727617.4287224
1582727617.4287224,b'0\r\n',1582727618.3974717
1582727618.3974717,b'1\r\n',1582727619.3818414
1582727619.3818414,b'0\r\n',1582727620.3681676
1582727620.3681676,b'1\r\n',1582727621.8325288
1582727621.8325288,b'0\r\n',1582727622.80128
1582727622.80128,b'1\r\n',1582727623.770005
1582727623.770005,b'0\r\n',1582727624.7543972
1582727624.7543972,b'1\r\n',1582727625.7448382
1582727625.7448382,b'0\r\n',1582727626.7135715
1582727626.7135715,b'1\r\n',1582727627.6823313
1582727627.6823313,b'0\r\n',1582727628.6670024
1582727628.6670024,b'1\r\n',1582727629.6357114
1582727629.6357114,b'0\r\n',1582727630.6201138
1582727630.6201138,b'1\r\n',1582727631.588869
1582727631.588869,b'0\r\n',1582727632.5732453
1582727632.5732453,b'1\r\n',1582727633.5576134
1582727633.5576134,b'0\r\n',1582727634.52637
1582727634.52637,b'1\r\n',1582727635.5107436
1582727635.5107436,b'0\r\n',1582727636.4794888
1582727636.4794888,b'1\r\n',1582727637.464812
1582727637.464812,b'0\r\n',1582727638.4333463
1582727638.4333463,b'1\r\n',1582727639.9023056
1582727639.9023056,b'0\r\n',1582727640.8866954
1582727640.8866954,b'1\r\n',1582727641.855441
1582727641.855441,b'0\r\n',1582727642.839814
1582727642.839814,b'1\r\n',1582727643.8085618
1582727643.8085618,b'0\r\n',1582727644.792935
1582727644.792935,b'1\r\n',1582727645.7616773
1582727645.7616773,b'0\r\n',1582727646.7460697
1582727646.7460697,b'1\r\n',1582727647.7303994
1582727647.7303994,b'0\r\n',1582727648.6989684
1582727648.6989684,b'1\r\n',1582727649.6835446
1582727649.6835446,b'0\r\n',1582727650.652279
1582727650.652279,b'1\r\n',1582727651.6366892
1582727651.6366892,b'0\r\n',1582727652.6054323
1582727652.6054323,b'1\r\n',1582727653.5898092
1582727653.5898092,b'0\r\n',1582727654.5583425
1582727654.5583425,b'0\r\n',1582727655.058339
1582727655.058339,b'1\r\n',1582727656.0273094
1582727656.0273094,b'0\r\n',1582727657.0138717
1582727657.0138717,b'1\r\n',1582727657.9826095
1582727657.9826095,b'0\r\n',1582727658.9670084
1582727658.9670084,b'1\r\n',1582727659.9360356
1582727659.9360356,b'0\r\n',1582727660.920404
1582727660.920404,b'1\r\n',1582727661.9047883
1582727661.9047883,b'0\r\n',1582727662.873316
1582727662.873316,b'1\r\n',1582727663.8421037
1582727663.8421037,b'0\r\n',1582727664.826657
