msg,before,after
msg,before,after
b'2703\r\n',1583310460612660600,1583310461611534500
b'',1583310461611534500,1583310463613904100
b'2688\r\n',1583310463613904100,1583310464610591400
b'',1583310464610591400,1583310466623918900
b'2688\r\n',1583310466623918900,1583310467609552700
b'',1583310467609552700,1583310469612940700
b'2688\r\n',1583310469612940700,1583310470609999800
b'',1583310470609999800,1583310472612883600
b'2701\r\n',1583310472612883600,1583310473609648700
b'',1583310473609648700,1583310475613500800
b'2679\r\n',1583310475613500800,1583310476608645000
b'',1583310476608645000,1583310478613874400
b'2688\r\n',1583310478613874400,1583310479599716800
b'',1583310479599716800,1583310481604300400
b'2697\r\n',1583310481604300400,1583310482598696900
b'',1583310482598696900,1583310484614628600
b'2694\r\n',1583310484614628600,1583310485612364500
b'',1583310485612364500,1583310487617544600
b'2694\r\n',1583310487617544600,1583310488611171300
b'',1583310488611171300,1583310490611457300
b'2688\r\n',1583310490611457300,1583310491612293800
b'',1583310491612293800,1583310493619771600
b'2699\r\n',1583310493619771600,1583310494598359100
b'',1583310494598359100,1583310496604015000
b'2693\r\n',1583310496604015000,1583310497605836400
b'',1583310497605836400,1583310499613211800
b'2693\r\n',1583310499613211800,1583310500601824100
b'',1583310500601824100,1583310502614568100
b'2694\r\n',1583310502614568100,1583310503611536500
b'',1583310503611536500,1583310505624114200
b'2699\r\n',1583310505624114200,1583310506598801800
b'',1583310506598801800,1583310508615174800
b'2693\r\n',1583310508615174800,1583310509610728200
b'',1583310509610728200,1583310511613514100
b'2695\r\n',1583310511613750400,1583310512611159300
b'',1583310512611159300,1583310514632569700
b'2685\r\n',1583310514632569700,1583310515611176400
b'',1583310515611176400,1583310517613007100
b'2699\r\n',1583310517613007100,1583310518601708500
b'',1583310518601708500,1583310520604959500
b'2693\r\n',1583310520604959500,1583310521603649600
b'',1583310521603649600,1583310523610061600
b'2694\r\n',1583310523610061600,1583310524612895200
b'',1583310524612895200,1583310526619952800
b'2693\r\n',1583310526619952800,1583310527611279200
