msg,before,after
b'4095\r\n',1583312655861023000,1583312656861025000
b'4095\r\n',1583312656861039000,1583312657861022000
b'4095\r\n',1583312657861036000,1583312658860996000
b'4095\r\n',1583312658861011000,1583312659860966000
b'4095\r\n',1583312659860980000,1583312660861039000
b'4095\r\n',1583312660861053000,1583312661861051000
b'4095\r\n',1583312661861065000,1583312662861026000
b'4095\r\n',1583312662861039000,1583312663861006000
b'4095\r\n',1583312663861020000,1583312664860989000
b'4095\r\n',1583312664861002000,1583312665860733000
b'4095\r\n',1583312665860741000,1583312666861130000
b'4095\r\n',1583312666861144000,1583312667861056000
b'4095\r\n',1583312667861073000,1583312668861113000
b'4095\r\n',1583312668861127000,1583312669860999000
b'4095\r\n',1583312669861013000,1583312670861119000
b'4095\r\n',1583312670861132000,1583312671861036000
b'4095\r\n',1583312671861050000,1583312672861161000
b'4095\r\n',1583312672861174000,1583312673861134000
b'4095\r\n',1583312673861147000,1583312674861147000
b'4095\r\n',1583312674861162000,1583312675860994000
b'4095\r\n',1583312675861008000,1583312676861104000
b'4095\r\n',1583312676861118000,1583312677862038000
b'4095\r\n',1583312677862052000,1583312678861162000
b'4095\r\n',1583312678861176000,1583312679862056000
b'4095\r\n',1583312679862070000,1583312680862052000
b'4095\r\n',1583312680862067000,1583312681862322000
b'4095\r\n',1583312681862344000,1583312682862179000
b'4095\r\n',1583312682862193000,1583312683862025000
b'4095\r\n',1583312683862042000,1583312684857188000
b'4095\r\n',1583312684857202000,1583312685862141000
b'4095\r\n',1583312685862154000,1583312686862177000
b'4095\r\n',1583312686862191000,1583312687862088000
b'4095\r\n',1583312687862101000,1583312688861962000
b'4095\r\n',1583312688861975000,1583312689862109000
b'4095\r\n',1583312689862155000,1583312690862162000
b'4095\r\n',1583312690862178000,1583312691862110000
b'4095\r\n',1583312691862120000,1583312692862185000
b'4095\r\n',1583312692862199000,1583312693862150000
b'4095\r\n',1583312693862164000,1583312694862027000
b'4095\r\n',1583312694862037000,1583312695862158000
b'4095\r\n',1583312695862173000,1583312696862183000
b'4095\r\n',1583312696862196000,1583312697862133000
b'4095\r\n',1583312697862148000,1583312698862070000
b'4095\r\n',1583312698862084000,1583312699862247000
b'4095\r\n',1583312699862260000,1583312700862158000
b'4095\r\n',1583312700862172000,1583312701862159000
b'4095\r\n',1583312701862176000,1583312702862171000
b'4095\r\n',1583312702862185000,1583312703862271000
b'4095\r\n',1583312703862285000,1583312704862294000
b'4095\r\n',1583312704862307000,1583312705862204000
b'4095\r\n',1583312705862217000,1583312706862250000
b'4095\r\n',1583312706862265000,1583312707862193000
b'4095\r\n',1583312707862207000,1583312708862276000
b'4095\r\n',1583312708862289000,1583312709862282000
b'4095\r\n',1583312709862295000,1583312710862265000
b'4095\r\n',1583312710862279000,1583312711862290000
b'4095\r\n',1583312711862304000,1583312712862259000
b'4095\r\n',1583312712862273000,1583312713862252000
b'4095\r\n',1583312713862266000,1583312714862302000
b'4095\r\n',1583312714862316000,1583312715862404000
b'4095\r\n',1583312715862418000,1583312716857268000
b'4095\r\n',1583312716857282000,1583312717862239000
b'4095\r\n',1583312717862253000,1583312718862283000
b'4095\r\n',1583312718862297000,1583312719862349000
b'4095\r\n',1583312719862363000,1583312720862349000
b'4095\r\n',1583312720862362000,1583312721862273000
b'4095\r\n',1583312721862294000,1583312722862315000
b'4095\r\n',1583312722862330000,1583312723862401000
b'4095\r\n',1583312723862415000,1583312724862317000
b'4095\r\n',1583312724862331000,1583312725862369000
b'4095\r\n',1583312725862382000,1583312726862300000
b'4095\r\n',1583312726862313000,1583312727862279000
b'4095\r\n',1583312727862292000,1583312728862162000
b'4095\r\n',1583312728862175000,1583312729862378000
b'4095\r\n',1583312729862392000,1583312730862317000
b'4095\r\n',1583312730862363000,1583312731862128000
b'4095\r\n',1583312731862139000,1583312732862386000
b'4095\r\n',1583312732862400000,1583312733862406000
b'4095\r\n',1583312733862420000,1583312734862426000
b'4095\r\n',1583312734862441000,1583312735862440000
b'4095\r\n',1583312735862454000,1583312736862352000
b'4095\r\n',1583312736862365000,1583312737862440000
b'4095\r\n',1583312737862455000,1583312738862468000
b'4095\r\n',1583312738862482000,1583312739862447000
b'4095\r\n',1583312739862461000,1583312740862369000
b'4095\r\n',1583312740862383000,1583312741862376000
b'4095\r\n',1583312741862390000,1583312742862500000
b'4095\r\n',1583312742862514000,1583312743862400000
b'4095\r\n',1583312743862418000,1583312744862411000
b'4095\r\n',1583312744862426000,1583312745862411000
b'4095\r\n',1583312745862425000,1583312746862423000
b'4095\r\n',1583312746862446000,1583312747862231000
b'4095\r\n',1583312747862245000,1583312748857260000
b'4095\r\n',1583312748857274000,1583312749862524000
b'4095\r\n',1583312749862538000,1583312750862430000
b'4095\r\n',1583312750862443000,1583312751862492000
b'4095\r\n',1583312751862505000,1583312752862418000
b'4095\r\n',1583312752862554000,1583312753862305000
b'4095\r\n',1583312753862315000,1583312754862448000
b'4095\r\n',1583312754862466000,1583312755862366000
b'4095\r\n',1583312755862379000,1583312756862522000
b'4095\r\n',1583312756862536000,1583312757862411000
b'4095\r\n',1583312757862425000,1583312758862455000
b'4095\r\n',1583312758862470000,1583312759862443000
b'4095\r\n',1583312759862457000,1583312760862595000
b'4095\r\n',1583312760862609000,1583312761862575000
b'4095\r\n',1583312761862589000,1583312762862584000
b'4095\r\n',1583312762862597000,1583312763862530000
b'4095\r\n',1583312763862544000,1583312764862481000
b'4095\r\n',1583312764862494000,1583312765862445000
b'4095\r\n',1583312765862458000,1583312766862489000
b'4095\r\n',1583312766862502000,1583312767862533000
b'4095\r\n',1583312767862548000,1583312768862622000
b'4095\r\n',1583312768862636000,1583312769862548000
b'4095\r\n',1583312769862563000,1583312770862585000
b'4095\r\n',1583312770862599000,1583312771862593000
b'4095\r\n',1583312771862607000,1583312772862543000
b'4095\r\n',1583312772862553000,1583312773862537000
b'4095\r\n',1583312773862550000,1583312774862556000
b'4095\r\n',1583312774862569000,1583312775862552000
b'4095\r\n',1583312775862567000,1583312776862637000
b'4095\r\n',1583312776862652000,1583312777862560000
b'4095\r\n',1583312777862574000,1583312778862604000
b'4095\r\n',1583312778862618000,1583312779862691000
b'4095\r\n',1583312779862705000,1583312780857663000
