Before_send,After_send,Message,Diif,Start_read,Message,Endread
1582724886.864130000,1582724886.86413,0,3.24904990196,1582724890.11318000000,b'0\r\n',1582724891.0975500000
1582724887.879750000,1582724887.87975,1,3.21779990196,1582724891.09755000000,b'1\r\n',1582724892.0803500000
1582724888.879750000,1582724888.87975,0,3.20059990883,1582724892.08035000000,b'0\r\n',1582724893.0491000000
1582724889.895370000,1582724889.89537,1,,,,
1582724890.910040000,1582724890.91004,0,,,,
1582724891.924100000,1582724891.92410,1,,,,
1582724892.939720000,1582724892.93972,0,,,,
1582724893.939720000,1582724893.93972,1,,,,
1582724894.955340000,1582724894.95534,0,,,,
1582724895.955350000,1582724895.95535,1,,,,
1582724896.955350000,1582724896.95535,0,,,,
1582724897.970970000,1582724897.97097,1,,,,
1582724898.970980000,1582724898.97098,0,,,,
1582724899.971280000,1582724899.97128,1,,,,
1582724900.971280000,1582724900.97128,0,,,,
1582724901.986900000,1582724901.98690,1,,,,
1582724902.988590000,1582724902.98859,0,,,,
1582724903.994520000,1582724903.99452,1,,,,
1582724905.010150000,1582724905.01015,0,,,,
1582724906.024570000,1582724906.02457,1,,,,
1582724907.024580000,1582724907.02458,0,,,,
1582724908.024850000,1582724908.02485,1,,,,
1582724909.040470000,1582724909.04047,0,,,,
1582724910.040470000,1582724910.04047,1,,,,
1582724911.052390000,1582724911.05239,0,,,,
1582724912.056000000,1582724912.05600,1,,,,
