Before_send,After_send,Message,msg,before,after,Diff
1582879299,1582879299,1,1,1582879298,1582879299,0.095669985
1582879300,1582879300,0,0,1582879299,1582879300,0.064769983
1582879301,1582879301,1,1,1582879300,1582879301,0.064209938
1582879302,1582879302,0,0,1582879301,1582879302,0.045950174
,,,,,,
,,,,,,
1582879305,1582879305,1,1,1582879304,1582879305,0.049239874
1582879306,1582879306,0,0,1582879305,1582879306,0.085420132
1582879307,1582879307,1,1,1582879306,1582879307,0.094639778
1582879308,1582879308,0,0,1582879307,1582879308,0.066519976
1582879309,1582879309,1,1,1582879308,1582879309,0.084219933
1582879310,1582879310,0,0,1582879309,1582879310,0.048859835
1582879311,1582879311,1,1,1582879310,1582879311,0.067399979
1582879312,1582879312,0,0,1582879311,1582879312,0.086469889
1582879313,1582879313,1,1,1582879312,1582879313,0.05851984
1582879314,1582879314,0,0,1582879313,1582879314,0.069810152
1582879315,1582879315,1,1,1582879314,1582879315,0.088920116
1582879316,1582879316,0,0,1582879315,1582879317,0.086390018
1582879317,1582879317,1,1,1582879317,1582879317,0.050749779
1582879318,1582879318,0,0,1582879317,1582879319,0.064739943
1582879319,1582879319,1,1,1582879319,1582879320,0.097370148
1582879320,1582879320,0,0,1582879320,1582879321,0.063990116
1582879321,1582879321,1,1,1582879321,1582879322,0.064480066
1582879323,1582879323,0,0,1582879322,1582879323,0.080509901
1582879324,1582879324,1,1,1582879323,1582879324,0.051769972
1582879325,1582879325,0,0,1582879324,1582879325,0.085109949
1582879326,1582879326,1,1,1582879325,1582879326,0.06257987
1582879327,1582879327,0,0,1582879326,1582879327,0.065039873
1582879328,1582879328,1,1,1582879327,1582879328,0.097880125
1582879329,1582879329,0,0,1582879328,1582879329,0.066650152
1582879330,1582879330,1,1,1582879329,1582879330,0.095930099
1582879331,1582879331,0,0,1582879330,1582879331,0.052589893
1582879332,1582879332,1,1,1582879331,1582879332,0.080359936
1582879333,1582879333,0,0,1582879332,1582879333,0.049200058
1582879334,1582879334,1,1,1582879333,1582879334,0.066280127
1582879335,1582879335,0,0,1582879334,1582879335,0.090509892
1582879336,1582879336,1,1,1582879335,1582879336,0.068470001
1582879337,1582879337,0,0,1582879336,1582879337,0.083069801
1582879338,1582879338,1,1,1582879337,1582879338,0.058799982
1582879339,1582879339,0,0,1582879338,1582879339,0.100160122
1582879340,1582879340,1,1,1582879339,1582879340,0.065609932
1582879341,1582879341,0,0,1582879340,1582879341,0.085609913
1582879342,1582879342,1,1,1582879341,1582879342,0.066390038
1582879343,1582879343,0,0,1582879342,1582879343,0.081400156
,,,,,,0.103360176
,,,,,,0.045950174
