Before_send,After_send,Message
Before_send,After_send,Message
1582727558.9491103,1582727558.9491103,1,
1582727559.9491181,1582727559.9491181,0,
1582727560.960184,1582727560.960184,1,
1582727561.960186,1582727561.960186,0,
1582727562.960187,1582727562.960187,1,
1582727563.9758344,1582727563.9758344,0,
1582727564.9916568,1582727564.9916568,1,
1582727565.9986897,1582727565.9986897,0,
1582727567.0056381,1582727567.0056381,1,
1582727568.0056388,1582727568.0056388,0,
1582727569.0212672,1582727569.0212672,1,
1582727570.0225792,1582727570.0227811,0,
1582727571.0274076,1582727571.0274076,1,
1582727572.0274076,1582727572.0274076,0,
1582727573.0274153,1582727573.0274153,1,
1582727574.027416,1582727574.027416,0,
1582727575.0430202,1582727575.0430202,1,
1582727576.0430253,1582727576.0430253,0,
1582727577.0430267,1582727577.0430267,1,
1582727578.0430305,1582727578.0430305,0,
1582727579.0430315,1582727579.0430315,1,
1582727580.058649,1582727580.058649,0,
1582727581.0740702,1582727581.0740702,1,
1582727582.074076,1582727582.074076,0,
1582727583.089924,1582727583.089924,1,
1582727584.1055458,1582727584.1055458,0,
1582727585.1072717,1582727585.1072717,1,
1582727586.1072717,1582727586.1072717,0,
1582727587.115248,1582727587.115248,1,
1582727588.1155064,1582727588.1155064,0,
1582727589.11551,1582727589.11551,1,
1582727590.1311285,1582727590.1311285,0,
1582727591.1311364,1582727591.1311364,1,
1582727592.1467607,1582727592.1467607,0,
1582727593.1623783,1582727593.1623783,1,
1582727594.1780043,1582727594.1780043,0,
1582727595.1870515,1582727595.1870515,1,
1582727596.187063,1582727596.187063,0,
1582727597.1929734,1582727597.1929734,1,
1582727598.2085998,1582727598.2085998,0,
1582727599.2240875,1582727599.2240875,1,
1582727600.2242212,1582727600.2242212,0,
1582727601.2242243,1582727601.2242243,1,
1582727602.2398272,1582727602.2398272,0,
1582727603.239833,1582727603.239833,1,
1582727604.239834,1582727604.239834,0,
1582727605.2554324,1582727605.2554324,1,
1582727606.2554386,1582727606.2554386,0,
1582727607.2554448,1582727607.2554448,1,
